"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"165","2000","9","Punjab","Gurdaspur","134.56","48.04","15.98","8.33","27.39","89.68","483.42","230.9","130.2","0.78","8.18","3.96"
"165","2001","9","Punjab","Gurdaspur","24.56","13.22","39.84","17.92","45.47","117.98","543.7","156.96","145.66","13.99","5.43","22.23"
"165","2002","9","Punjab","Gurdaspur","31.64","33.22","36.0","19.46","24.09","92.92","139.85","358.49","293.68","17.77","0.97","24.7"
"165","2003","9","Punjab","Gurdaspur","43.59","190.27","77.08","21.89","18.18","86.7","431.77","276.12","195.88","25.16","33.2","44.27"
"165","2004","9","Punjab","Gurdaspur","162.5","33.21","4.03","29.26","55.26","79.01","245.96","322.95","35.1","62.52","14.22","37.89"
"165","2005","9","Punjab","Gurdaspur","220.85","104.47","79.24","24.07","12.32","46.37","409.26","209.07","206.12","27.34","6.93","1.26"
"165","2006","9","Punjab","Gurdaspur","121.39","28.54","63.15","10.53","20.07","88.28","618.67","525.3","464.27","128.36","28.63","78.13"
"165","2007","9","Punjab","Gurdaspur","3.92","146.73","135.44","5.46","25.04","122.91","238.14","243.11","170.3","0.0","19.23","9.06"
"165","2008","9","Punjab","Gurdaspur","118.95","26.35","4.06","70.34","32.51","146.6","268.13","610.31","165.14","58.7","6.85","48.6"
"165","2009","9","Punjab","Gurdaspur","121.56","74.97","52.76","31.64","14.17","37.18","171.35","230.72","113.8","9.62","22.05","9.77"
"165","2010","9","Punjab","Gurdaspur","27.18","36.4","23.7","11.09","26.69","37.18","483.92","473.58","210.44","20.78","1.85","39.19"
"165","2011","9","Punjab","Gurdaspur","29.96","83.34","30.78","33.16","10.54","111.04","344.45","424.54","416.57","20.12","8.77","33.29"
"165","2012","9","Punjab","Gurdaspur","134.57","23.04","25.28","58.38","5.74","15.53","151.09","315.78","538.02","47.68","3.29","57.4"
"165","2013","9","Punjab","Gurdaspur","65.38","118.18","42.74","51.59","7.84","137.88","396.74","396.05","117.49","32.24","30.67","13.41"
"165","2014","9","Punjab","Gurdaspur","71.77","33.9","117.42","72.96","32.23","50.59","222.27","219.21","753.11","44.45","21.32","1.22"
"165","2015","9","Punjab","Gurdaspur","90.99","68.16","210.66","46.66","24.14","92.8","531.68","317.5","323.95","47.21","7.11","12.37"
"166","2000","9","Punjab","Amritsar","43.15","19.13","5.13","2.96","15.57","58.55","239.35","91.29","46.06","0.07","3.42","0.6"
